順番 日本語                   意味                   例文
001. いざ鎌倉(かまくら)       一旦紧急之时           いざ鎌倉に備えて用意しておく。
002. いざ知らず               不得而知，姑且不谈     昔はいざ知らず、現在こんな事を信じる者はいない。
003. 風邪をひく               着凉                   風邪を引いちゃったので、学校を休んだ。
004. 面倒を見る               照顾，照料             年老いた親の面倒を見る。
005. 言うに言われぬ           无法形容的，无法言喻的 夕焼けの美しさは言うに言われぬものだった。(言うに言えない)
006. 羽目になる               走投无路，陷入困境     結局手伝わされる羽目になる。
007. 羽目に陥る(おちいる)     走投无路，陷入困境     くじを引き当て幹事役をする羽目に陥る。
008. 気に入る(きにいる)       称心，满意             この服は気に入った。
009. 目にあう                 体验，遭遇             怠けて遊んでばかりいると、今に大変な目にあうよ。
010. 気を失う                 失去知觉(意識を失う)   気を失って、倒れてしまった。
011. 火を付ける               点火                   コンロに火をつけましょう。
012. 言葉に甘える             恭敬不如从命           お言葉に甘えて先に帰らせていただきます。
013. 電話をかける             打电话
014. 気が早い                 性急                   彼は気が早い。
015. 役に立つ                 有用处，起作用         この機械は古いが、まだ役に立つ。
016. 手に入れる               拿到手，入手           大金を手に入れる
017. 息が上がる               呼吸困难               すぐに息が上がってしまって困っています。
018. 何の変哲(へんてつ)もない 平淡无奇               何の変哲もない生活をしている。
019. 恩に着る                 感恩                   君のことが一生恩に着るよ。
020. 気が荒い                 脾气暴                 気が荒い小娘
