日本語名詞  中国語名詞  日本語動詞              中国語動詞    例文
-           -           生き延びる(いきのびる)  幸存          戦火の中を、辛うじて生き延びた。
-           -           打ち上げる              发射；冲上岸  人工衛星を成功裏に打ち上げた。
押し入れ    壁橱        押し入れる(おしいれる)  勉强装进      布団を押し入れに仕舞う。
-           -           押し付ける(おしつける)  强加于人      責任を押し付ける
-           -           買い出す(かいだす)      采购          リューベの村まで、こむぎこを買い出しに行く
-           -           着替える(きがえる)      换衣服        家に帰ると普段着に着替える。
-           -           切り上げる(きりあげる)  升值          貿易の均衡を保つために円を切り上げる。
-           -           切り下げる(きりさげる)  贬值          物価を切り下げる
-           -           切り捨てる(きりすてる)  舍去(尾数)    端数(はすう)を切り捨てる
-           -           忍び込む(しのびこむ)    悄悄进入      天窓から忍び込む
-           -           住み着く(すみつく)      安家          ここに住み着いて八年になる
-           -           助け出す(たすけだす)    救出          人を火の中から助け出す
飛び込み    跳水        飛び込む(とびこむ)      跳入，飞入    水中に飛び込む
-           -           逃げ込む(にげこむ)      逃进，躲入    雨に降られて軒下(のきした)へ逃げ込む。
-           -           逃げ出す(にげだす)      逃走          隙を見て逃げ出す
-           -           引き締める(ひきしめる)  拉紧；缩减    財政を引き締める
引き出し    抽屉        引き出す(ひきだす)      抽出；提取    押し入れから布団を引き出す；貯金を引き出す
-           -           引き取る(ひきとる)      退下；取回    ご前を引き取る
-           -           拭き取る(ふきとる)      擦掉          汗を拭き取る
-           -           振り返る(ふりかえる)    回顾；回头看  名残惜しそうに(なごりおしい)振り返る
-           -           待ち伏せる(まちぶせる)  伏击          待ち伏せて捕まえる。
-           -           潜り込む(もぐりこむ)    潜入；钻入    水に潜り込む；寝床(ねどこ)に潜り込む
