中文        日本語          かな
自学        独学する        どくがくする
单词        単語            たんご
通过(考试)  受かる          うかる
综艺节目    variety         バラエティー
害羞的人    恥ずかしがり屋  はずかしがりや
佩服        敬服            けいふく
发现        気づく          きづく
缺勤        さぼる          さぼる
干劲        やる気          やるき
可怜的      可哀想な        かわいそうな
不断地      絶え間なく      たえまなく
毁灭        滅ぼす          ほろぼす
白痴        none            アホ
挣钱        稼ぐ            かせぐ
出道        debut           デビューする
单身        独身            どくしん
恶心;生气   むかつく        むかつく
骗          騙す            だます
外遇        浮気            うわき
回答        返答            へんとう
着急        焦る            あせる
念珠        数珠            じゅず
毒品        薬物            やくぶつ
贪污        汚職            おしょく
色彩        色彩            しきさい
赔偿        償う            つぐなう
理解        納得            なっとく
理发        髪を切る        かみをきる
